country,year,co2,World,co2_per_capita,population
Cyprus,2020,70.329,second,4.964,1207361
Czechia,2008,70.164,second,4.792,10425267
Czechia,2012,67.98,second,4.783,10581302
Czechia,2016,67.263,second,4.778,10618868
Czechia,2020,67.215,second,4.774,10708982
Democratic Republic of Congo,2008,66.877,second,4.67,60411195
Democratic Republic of Congo,2012,66.65,second,4.666,69020749
Democratic Republic of Congo,2016,65.439,second,4.663,78789130
Democratic Republic of Congo,2020,64.536,second,4.657,89561404
Denmark,2008,64.534,second,4.509,5497731
Denmark,2012,64.257,second,4.507,5610909
Denmark,2016,62.674,second,4.505,5711346
Denmark,2020,62.163,second,4.498,5792203
Djibouti,2008,61.219,second,4.453,816361
Djibouti,2012,60.691,second,4.45,868136
Djibouti,2016,60.635,second,4.449,929117
Djibouti,2020,60.31,second,4.444,988002
Dominica,2008,60.123,second,4.396,70829
Dominica,2012,59.851,second,4.395,70954
Dominica,2016,58.968,second,4.393,71307
Dominica,2020,58.617,second,4.389,71991
Dominican Republic,2008,58.457,second,4.34,9458079
Dominican Republic,2012,57.572,second,4.335,9930916
Dominican Republic,2016,57.445,second,4.331,10397738
Dominican Republic,2020,57.248,second,4.329,10847904
Ecuador,2008,56.954,second,3.827,14535740
Ecuador,2012,56.667,second,3.824,15474099
Ecuador,2016,56.351,second,3.822,16491116
Ecuador,2020,54.079,second,3.818,17643060
Egypt,2008,54.041,second,3.75,79636081
Egypt,2012,53.591,second,3.747,86422240
Egypt,2016,53.485,second,3.746,94447071
Egypt,2020,52.72,second,3.743,102334403
El Salvador,2008,52.235,second,3.698,6131767
El Salvador,2012,51.778,second,3.696,6237922
El Salvador,2016,51.647,second,3.694,6356137
El Salvador,2020,51.369,second,3.692,6486201
Equatorial Guinea,2008,51.229,second,3.644,860839
Equatorial Guinea,2012,51.22,second,3.643,1031191
Equatorial Guinea,2016,50.887,second,3.64,1215181
Equatorial Guinea,2020,50.721,second,3.636,1402985
Eritrea,2008,50.458,second,3.58,3062782
Eritrea,2012,49.979,second,3.577,3250104
Eritrea,2016,48.341,second,3.572,3376558
Eritrea,2020,48.275,second,3.568,3546427
Estonia,2008,48.145,second,3.434,1340067
Estonia,2012,47.367,second,3.432,1323163
Estonia,2016,47.231,second,3.43,1316507
Estonia,2020,47.229,second,3.427,1326539
Eswatini,2008,47.072,second,3.386,1049948
Eswatini,2012,46.774,second,3.382,1079285
Eswatini,2016,46.758,second,3.38,1113994
Eswatini,2020,45.556,second,3.378,1160164
Ethiopia,2008,45.504,second,3.328,82916236
Ethiopia,2012,45.502,second,3.326,92726982
Ethiopia,2016,45.301,second,3.323,103603461
Ethiopia,2020,45.034,second,3.321,114963583
Faeroe Islands,2008,44.837,second,2.801,47822
Faeroe Islands,2012,44.8,second,2.799,47843
Faeroe Islands,2016,44.714,second,2.798,48173
Faeroe Islands,2020,44.706,second,2.794,48865
Fiji,2008,44.342,second,2.765,845356
Fiji,2012,44.096,second,2.762,865065
Fiji,2016,43.724,second,2.761,872406
Fiji,2020,43.389,second,2.76,896444
Finland,2008,43.262,second,2.68,5319452
Finland,2012,43.135,second,2.679,5414769
Finland,2016,42.791,second,2.677,5497714
Finland,2020,42.742,second,2.671,5540718
France,2008,42.255,second,2.541,62209207
France,2012,42.11,second,2.539,63564224
France,2016,41.373,second,2.535,64667590
France,2020,41.283,second,2.533,65273512
French Equatorial Africa,2008,40.81,second,2.503,
French Equatorial Africa,2012,40.388,second,2.502,
French Equatorial Africa,2016,40.275,second,2.5,
French Equatorial Africa,2020,40.156,second,2.499,
French Guiana,2008,40.052,second,2.46,221997
French Guiana,2012,39.84,second,2.458,243667
French Guiana,2016,39.504,second,2.456,267824
French Guiana,2020,39.288,second,2.454,298682
French Polynesia,2008,39.193,second,2.429,264064
French Polynesia,2012,38.635,second,2.427,268995
French Polynesia,2016,38.242,second,2.427,274576
French Polynesia,2020,37.72,second,2.425,280904
French West Africa,2008,37.713,second,2.39,
French West Africa,2012,37.565,second,2.389,
French West Africa,2016,37.444,second,2.386,
French West Africa,2020,37.154,second,2.38,
Gabon,2008,37.055,second,2.354,1518538
Gabon,2012,37.011,second,2.351,1749677
Gabon,2016,36.326,second,2.348,2007882
Gabon,2020,36.138,second,2.345,2225728
Gambia,2008,35.921,second,2.316,1689288
Gambia,2012,35.509,second,2.314,1905020
Gambia,2016,35.45,second,2.312,2149134
Gambia,2020,35.048,second,2.31,2416664
Georgia,2008,35.031,second,2.21,4142648
Georgia,2012,34.96,second,2.209,4064097
Georgia,2016,34.856,second,2.208,4015457
Georgia,2020,34.305,second,2.206,3989175
Germany,2008,33.847,second,2.102,81065751
Germany,2012,33.801,second,2.1,80972629
Germany,2016,33.475,second,2.099,82193770
Germany,2020,33.349,second,2.097,83783945
Ghana,2008,32.298,second,2.068,23563832
Ghana,2012,31.404,second,2.066,25996454
Ghana,2016,31.373,second,2.066,28481947
Ghana,2020,31.239,second,2.063,31072945
Greece,2008,30.932,second,1.998,11040312
Greece,2012,30.73,second,1.994,10781119
Greece,2016,30.532,second,1.992,10615183
Greece,2020,29.742,second,1.988,10423056
Greenland,2008,29.681,second,1.968,56836
Greenland,2012,29.573,second,1.966,56477
Greenland,2016,29.412,second,1.964,56408
Greenland,2020,29.311,second,1.963,56772
Grenada,2008,29.079,second,1.931,105457
Grenada,2012,29.008,second,1.928,107452
Grenada,2016,28.178,second,1.926,110263
Grenada,2020,28.127,second,1.923,112519
Guadeloupe,2008,28.108,second,1.898,403967
Guadeloupe,2012,27.769,second,1.896,404446
Guadeloupe,2016,27.019,second,1.895,399760
Guadeloupe,2020,26.501,second,1.894,400127
Guatemala,2008,26.306,second,1.863,14006420
Guatemala,2012,26.195,second,1.859,15270774
Guatemala,2016,25.969,second,1.856,16583079
Guatemala,2020,25.487,second,1.853,17915567
Guinea,2008,25.486,second,1.826,9738796
Guinea,2012,25.437,second,1.825,10652032
Guinea,2016,25.327,second,1.823,11738434
Guinea,2020,24.645,second,1.822,13132792
Guinea-Bissau,2008,24.346,second,1.793,1446936
Guinea-Bissau,2012,24.333,second,1.792,1604981
Guinea-Bissau,2016,23.814,second,1.789,1782434
Guinea-Bissau,2020,23.599,second,1.786,1967998
Guyana,2008,23.027,second,1.76,746815
Guyana,2012,22.795,second,1.758,755388
Guyana,2016,22.332,second,1.758,771363
Guyana,2020,22.198,second,1.756,786559
Haiti,2008,22.134,second,1.729,9646570
Haiti,2012,22.025,second,1.727,10250922
Haiti,2016,21.734,second,1.725,10839976
Haiti,2020,21.418,second,1.724,11402533
Honduras,2008,21.255,second,1.703,7980955
Honduras,2012,21.106,second,1.701,8640692
Honduras,2016,20.718,second,1.698,9270794
Honduras,2020,20.7,second,1.697,9904608
Hong Kong,2008,20.332,second,1.667,6881861
Hong Kong,2012,20.152,second,1.665,7046847
Hong Kong,2016,19.959,second,1.665,7243541
Hong Kong,2020,19.311,second,1.664,7496988
Hungary,2008,19.089,second,1.594,9991867
Hungary,2012,18.938,second,1.593,9864363
Hungary,2016,18.859,second,1.591,9752970
Hungary,2020,18.268,second,1.59,9660350
Iceland,2008,18.25,second,1.56,310855
Iceland,2012,18.083,second,1.558,325642
Iceland,2016,17.875,First,1.556,332209
Iceland,2020,17.846,First,1.556,341250
India,2008,17.779,First,1.498,1200669762
India,2012,17.567,First,1.497,1265780243
India,2016,17.418,First,1.496,1324517250
India,2020,17.156,First,1.494,1380004385
Indonesia,2008,16.982,First,1.446,235469755
Indonesia,2012,16.958,First,1.444,248451714
Indonesia,2016,16.913,First,1.443,261556386
Indonesia,2020,16.547,First,1.441,273523621
Iran,2008,16.146,First,1.378,72120608
Iran,2012,16.001,First,1.377,75539881
Iran,2016,15.798,First,1.376,79563991
Iran,2020,15.737,First,1.375,83992953
Iraq,2008,15.326,First,1.349,28385739
Iraq,2012,15.203,First,1.346,31890012
Iraq,2016,14.806,First,1.346,36610632
Iraq,2020,14.665,First,1.343,40222503
Ireland,2008,14.539,First,1.283,4415871
Ireland,2012,14.425,First,1.282,4608199
Ireland,2016,14.347,First,1.281,4695790
Ireland,2020,14.345,First,1.279,4937796
Israel,2008,14.315,First,1.255,7020832
Israel,2012,13.799,First,1.253,7614946
Israel,2016,13.634,First,1.251,8108984
Israel,2020,13.554,First,1.25,8655541
Italy,2008,13.351,First,1.206,58922116
Italy,2012,12.563,First,1.205,59879469
Italy,2016,12.16,First,1.205,60663068
Italy,2020,12.017,First,1.204,60461828
Jamaica,2008,11.988,First,1.185,2781869
Jamaica,2012,11.987,First,1.184,2842128
Jamaica,2016,11.893,First,1.183,2906242
Jamaica,2020,11.798,First,1.182,2961161
Japan,2008,11.558,First,1.145,128538644
Japan,2012,11.508,First,1.143,128423571
Japan,2016,11.388,First,1.142,127763267
Japan,2020,11.184,First,1.14,126476458
Jordan,2008,10.939,First,1.125,6556473
Jordan,2012,10.893,First,1.124,8089963
Jordan,2016,10.873,First,1.123,9554286
Jordan,2020,10.866,First,1.123,10203140
Kazakhstan,2008,10.78,First,1.074,15862126
Kazakhstan,2012,10.78,First,1.073,16751523
Kazakhstan,2016,10.738,First,1.071,17830902
Kazakhstan,2020,10.555,First,1.07,18776707
Kenya,2008,10.533,First,1.056,39791984
Kenya,2012,10.531,First,1.054,44343469
Kenya,2016,10.452,First,1.052,49051531
Kenya,2020,10.451,First,1.051,53771300
Kiribati,2008,10.427,First,1.039,98760
Kiribati,2012,10.265,First,1.038,106359
Kiribati,2016,10.219,First,1.037,112529
Kiribati,2020,10.158,First,1.036,119446
Kosovo,2008,10.071,First,1.036,
Kosovo,2012,10.066,First,1.035,
Kosovo,2016,10.016,First,1.035,
Kosovo,2020,9.998,First,1.034,
Kuwait,2008,9.968,First,1.02,2656010
Kuwait,2012,9.911,First,1.019,3348852
Kuwait,2016,9.768,First,1.018,3956862
Kuwait,2020,9.768,First,1.017,4270563
Kuwaiti Oil Fires,2008,9.76,First,1.013,
Kuwaiti Oil Fires,2012,9.722,First,1.012,
Kuwaiti Oil Fires,2016,9.66,First,1.012,
Kuwaiti Oil Fires,2020,9.646,First,1.01,
Kyrgyzstan,2008,9.493,First,0.973,5254969
Kyrgyzstan,2012,9.448,First,0.972,5621583
Kyrgyzstan,2016,9.296,First,0.971,6074327
Kyrgyzstan,2020,9.293,First,0.97,6524191
Laos,2008,9.175,First,0.954,6046630
Laos,2012,9.094,First,0.953,6444527
Laos,2016,9.093,First,0.952,6845848
Laos,2020,9.062,First,0.952,7275556
Latvia,2008,8.991,First,0.908,2171248
Latvia,2012,8.925,First,0.908,2069018
Latvia,2016,8.86,First,0.906,1974265
Latvia,2020,8.735,First,0.906,1886202
Lebanon,2008,8.714,First,0.889,4764745
Lebanon,2012,8.693,First,0.888,5537620
Lebanon,2016,8.592,First,0.888,6714281
Lebanon,2020,8.438,First,0.887,6825442
Leeward Islands,2008,8.339,First,0.876,
Leeward Islands,2012,8.252,First,0.876,
Leeward Islands,2016,8.202,First,0.874,
Leeward Islands,2020,8.198,First,0.872,
Lesotho,2008,8.175,First,0.867,1987130
Lesotho,2012,8.163,First,0.867,2014988
Lesotho,2016,8.155,First,0.866,2075041
Lesotho,2020,8.109,First,0.866,2142252
Liberia,2008,7.99,First,0.852,3607863
Liberia,2012,7.923,First,0.852,4135662
Liberia,2016,7.913,First,0.851,4586788
Liberia,2020,7.907,First,0.851,5057677
Libya,2008,7.89,First,0.838,6058740
Libya,2012,7.883,First,0.837,6285751
Libya,2016,7.874,First,0.836,6492160
Libya,2020,7.815,First,0.836,6871287
Liechtenstein,2008,7.72,First,0.833,35469
Liechtenstein,2012,7.57,First,0.832,36615
Liechtenstein,2016,7.547,First,0.832,37655
Liechtenstein,2020,7.544,First,0.831,38137
Lithuania,2008,7.519,First,0.795,3212867
Lithuania,2012,7.429,First,0.794,3045561
Lithuania,2016,7.387,First,0.794,2889555
Lithuania,2020,7.373,First,0.793,2722291
Luxembourg,2008,7.362,First,0.781,485403
Luxembourg,2012,7.335,First,0.78,530855
Luxembourg,2016,7.262,First,0.779,579266
Luxembourg,2020,7.26,First,0.778,625976
Macao,2008,7.21,First,0.766,515232
Macao,2012,7.183,First,0.765,564037
Macao,2016,7.147,First,0.764,612824
Macao,2020,6.987,First,0.763,649342
Madagascar,2008,6.889,First,0.747,19996476
Madagascar,2012,6.773,First,0.746,22346641
Madagascar,2016,6.745,First,0.746,24894370
Madagascar,2020,6.703,First,0.745,27691019
Malawi,2008,6.652,First,0.732,13727899
Malawi,2012,6.646,First,0.731,15396010
Malawi,2016,6.636,First,0.73,17205253
Malawi,2020,6.6,First,0.728,19129955
Malaysia,2008,6.592,First,0.707,27236003
Malaysia,2012,6.573,First,0.706,29068189
Malaysia,2016,6.571,First,0.706,30684652
Malaysia,2020,6.52,First,0.705,32365998
Maldives,2008,6.519,First,0.696,343448
Maldives,2012,6.496,First,0.696,397231
Maldives,2016,6.472,First,0.696,475505
Maldives,2020,6.44,First,0.695,540542
Mali,2008,6.418,First,0.686,14113578
Mali,2012,6.405,First,0.686,15979492
Mali,2016,6.334,First,0.686,17965448
Mali,2020,6.159,First,0.685,20250834
Malta,2008,6.124,First,0.675,409493
Malta,2012,6.119,First,0.674,421809
Malta,2016,5.915,First,0.672,436099
Malta,2020,5.89,First,0.67,441539
Marshall Islands,2008,5.84,First,0.668,56166
Marshall Islands,2012,5.837,First,0.668,56712
Marshall Islands,2016,5.8,First,0.667,57723
Marshall Islands,2020,5.748,First,0.666,59194
Martinique,2008,5.659,First,0.656,397664
Martinique,2012,5.575,First,0.655,388366
Martinique,2016,5.515,First,0.655,376789
Martinique,2020,5.47,First,0.654,375265
Mauritania,2008,5.451,First,0.645,3296237
Mauritania,2012,5.441,First,0.645,3706555
Mauritania,2016,5.426,First,0.645,4163532
Mauritania,2020,5.383,First,0.644,4649660
Mauritius,2008,5.315,First,0.635,1239262
Mauritius,2012,5.309,First,0.634,1253489
Mauritius,2016,5.203,First,0.634,1261870
Mauritius,2020,5.19,First,0.633,1271767
Mayotte,2008,5.173,First,0.631,196269
Mayotte,2012,5.147,First,0.63,221147
Mayotte,2016,5.077,First,0.63,246460
Mayotte,2020,5.074,First,0.629,272813
Mexico,2008,5.034,First,0.61,110815272
Mexico,2012,4.976,First,0.609,117274156
Mexico,2016,4.904,First,0.609,123333379
Mexico,2020,4.892,First,0.609,128932753
Micronesia (country),2008,4.793,First,0.607,103549
Micronesia (country),2012,4.79,First,0.605,104506
Micronesia (country),2016,4.766,First,0.604,110215
Micronesia (country),2020,4.74,First,0.604,115021
Moldova,2008,4.668,First,0.57,4112886
Moldova,2012,4.588,First,0.57,4075804
Moldova,2016,4.546,First,0.569,4066013
Moldova,2020,4.535,First,0.569,4033963
Mongolia,2008,4.525,First,0.56,2631899
Mongolia,2012,4.503,First,0.56,2824698
Mongolia,2016,4.492,First,0.558,3056358
Mongolia,2020,4.45,First,0.557,3278292
Montenegro,2008,4.403,First,0.539,621312
Montenegro,2012,4.366,First,0.539,625931
Montenegro,2016,4.346,First,0.538,627271
Montenegro,2020,4.298,First,0.538,628062
Montserrat,2008,4.278,First,0.531,4906
Montserrat,2012,4.276,First,0.531,4930
Montserrat,2016,4.272,First,0.53,4978
Montserrat,2020,4.2,First,0.53,4999
Morocco,2008,4.166,First,0.518,31536807
Morocco,2012,4.163,First,0.518,33241898
Morocco,2016,4.051,First,0.517,35126274
Morocco,2020,3.979,First,0.516,36910558
Mozambique,2008,3.97,First,0.506,22276596
Mozambique,2012,3.964,First,0.506,24862673
Mozambique,2016,3.919,First,0.505,27829930
Mozambique,2020,3.881,First,0.505,31255435
Myanmar,2008,3.877,First,0.494,49929642
Myanmar,2012,3.811,First,0.494,51413703
Myanmar,2016,3.767,First,0.494,53045199
Myanmar,2020,3.702,First,0.493,54409794
Namibia,2008,3.68,First,0.49,2043382
Namibia,2012,3.638,First,0.49,2194777
Namibia,2016,3.627,First,0.49,2358044
Namibia,2020,3.497,First,0.489,2540916
Nauru,2008,3.487,First,0.486,9880
Nauru,2012,3.398,First,0.485,10136
Nauru,2016,3.394,First,0.485,10474
Nauru,2020,3.39,First,0.485,10834
Nepal,2008,3.381,First,0.477,26666581
Nepal,2012,3.377,First,0.476,26989160
Nepal,2016,3.355,First,0.476,27263430
Nepal,2020,3.352,First,0.475,29136808
Netherlands,2008,3.335,First,0.454,16568105
Netherlands,2012,3.334,First,0.454,16791850
Netherlands,2016,3.329,First,0.454,16981285
Netherlands,2020,3.253,First,0.453,17134873
New Caledonia,2008,3.232,First,0.443,246696
New Caledonia,2012,3.117,First,0.443,260656
New Caledonia,2016,3.092,First,0.443,274190
New Caledonia,2020,2.983,First,0.442,285491
New Zealand,2008,2.981,First,0.427,4278156
New Zealand,2012,2.945,First,0.426,4468462
New Zealand,2016,2.936,First,0.426,4659265
New Zealand,2020,2.933,First,0.425,4822233
Nicaragua,2008,2.92,First,0.418,5667436
Nicaragua,2012,2.899,First,0.418,5982530
Nicaragua,2016,2.896,First,0.418,6303970
Nicaragua,2020,2.848,First,0.417,6624554
Niger,2008,2.78,First,0.41,15250913
Niger,2012,2.761,First,0.41,17795209
Niger,2016,2.748,First,0.41,20788789
Niger,2020,2.747,First,0.409,24206636
Nigeria,2008,2.744,First,0.4,150269622
Nigeria,2012,2.656,First,0.399,167228803
Nigeria,2016,2.635,First,0.399,185960244
Nigeria,2020,2.619,First,0.398,206139587
Niue,2008,2.605,First,0.393,1633
Niue,2012,2.562,First,0.393,1606
Niue,2016,2.553,First,0.392,1611
Niue,2020,2.535,First,0.392,1618
North Korea,2008,2.345,First,0.327,24310143
North Korea,2012,2.338,First,0.327,24800638
North Korea,2016,2.33,First,0.326,25307665
North Korea,2020,2.316,First,0.326,25778815
North Macedonia,2008,2.312,First,0.313,2067309
North Macedonia,2012,2.31,First,0.313,2074275
North Macedonia,2016,2.306,First,0.313,2080746
North Macedonia,2020,2.278,First,0.313,2083380
Norway,2008,2.276,First,0.295,4771014
Norway,2012,2.264,First,0.294,5013716
Norway,2016,2.224,First,0.293,5250950
Norway,2020,2.216,First,0.293,5421242
Oceania,2008,2.213,First,0.277,35561162
Oceania,2012,2.213,First,0.277,38104732
Oceania,2016,2.213,First,0.276,40435631
Oceania,2020,2.198,First,0.276,42677809
Oman,2008,2.192,First,0.271,2750956
Oman,2012,2.183,First,0.271,3498031
